uniqid_eco4,US_L4CODE,US_L4NAME,NA_L3CODE,areakm2
955,9h,Fremont Pine/Fir Forest,6.2.8,4656.4
956,9i,Southern Cascades Slope,6.2.8,1315.3
957,9j,Klamath Juniper Woodland/Devils Garden,6.2.8,4780.2
958,9k,Shasta Valley,6.2.8,922.7
959,9l,Pit River Valleys,6.2.8,1657.7
960,9m,Warner Mountains,6.2.8,1516.6
961,9n,High Elevation Warner Mountains,6.2.8,166.1
962,9o,Likely Tableland,6.2.8,272.5
963,9p,Modoc/Lassen Juniper-Shrub Hills and Mountains,6.2.8,3169.3
964,9q,Adin/Horsehead Mountains Forest and Woodland,6.2.8,1284.5
965,9r,Adin/Dixie Low Hills,6.2.8,845.9
966,9s,Modoc Lava Flows and Buttes,6.2.8,2663.4
967,9t,Old Cascades,6.2.8,686.5
